algorithm_id,function_id,n_runs,dimensions,range_low,range_high,mean,std_dev,range,median,time_ms,range_min,range_max
6,2,50,30,-100,100,0.00292368, 0.00173438, 0.00828441, 0.00249504, 1075.57, 0.000565715, 0.00885012, 
10,12,50,30,-100,100,11.2056, 0.546351, 2.42031, 11.3463, 3101.85, 9.49066, 11.911, 
13,17,50,30,-100,100,261.551, 58.0071, 265.889, 267.306, 1458.38, 143.93, 409.819, 
11,7,50,30,-30,30,31.156, 1.61263, 7.73424, 30.7184, 2886.28, 29.252, 36.9863, 
13,8,50,30,-32,32,157.836, 39.6105, 155.152, 147.827, 3336.57, 88.467, 243.619, 
0,17,50,30,-100,100,125.421, 28.3076, 130.903, 120.986, 1495.94, 64.6434, 195.547, 
4,15,50,30,-100,100,244.925, 646.618, 4462.02, 65.6353, 1139.65, 1.21644, 4463.24, 
9,6,50,30,-30,30,-31.6841, 1.00404, 4.50112, -31.7431, 2539.31, -33.7782, -29.277, 
8,3,50,30,-100,100,625.385, 2338.53, 16280.7, 102.556, 1261.13, 23.0434, 16303.7, 
1,4,50,30,-30,30,136.788, 12.6001, 59.7086, 135.141, 1994.34, 116.298, 176.007, 
10,1,50,30,-512,512,6191.39, 308.229, 1345.82, 6226.27, 2151.73, 5379.71, 6725.53, 
8,11,50,30,-500,500,-5649.69, 1023.72, 4320.27, -5431.09, 5063.42, -8490.21, -4169.94, 
8,2,50,30,-100,100,0.00158069, 0.000985333, 0.00477967, 0.00122786, 1143.72, 0.000666022, 0.00544569, 
6,4,50,30,-30,30,177.708, 19.8883, 106.78, 177.356, 2193.28, 132.649, 239.429, 
11,1,50,30,-512,512,3266.09, 284.03, 1450.81, 3331.53, 1629.05, 2320.86, 3771.68, 
10,10,50,30,-500,500,-8796.18, 638.176, 2639.02, -8686.57, 4170.56, -10312, -7672.99, 
3,14,50,30,-30,30,-5.33323, 0.453891, 2.01337, -5.3324, 2519.36, -6.34316, -4.32978, 
14,16,50,30,-10,10,6.72062, 3.72774, 15.7904, 6.57562, 6509.46, 0.68398, 16.4744, 
6,13,50,30,0,3.14159,-13.3801, 0.838474, 3.75891, -13.3722, 4250.48, -15.7612, -12.0023, 
14,4,50,30,-30,30,337.212, 81.7005, 373.25, 334.151, 2768.97, 169.461, 542.711, 
8,12,50,30,-100,100,8.26591, 1.99449, 6.93623, 7.52235, 3089.48, 5.32891, 12.2651, 
8,17,50,30,-100,100,7.65933, 0.0391199, 0.215426, 7.65272, 1349.14, 7.6048, 7.82023, 
12,7,50,30,-30,30,54.4984, 5.04613, 20.1913, 54.564, 3640.54, 45.5047, 65.696, 
0,8,50,30,-32,32,-68.3096, 2.86598, 13.6001, -68.8405, 3023.3, -73.409, -59.8089, 
