algorithm_id,function_id,n_runs,dimensions,range_low,range_high,mean,std_dev,range,median,time_ms,range_min,range_max
0,5,50,30,-500,500,1.6258, 0.151977, 0.592968, 1.6039, 6379.27, 1.34469, 1.93766, 
5,15,50,30,-100,100,114152, 55939, 237641, 100056, 3124.46, 15873.2, 253514, 
9,10,50,30,-500,500,-13106.5, 3170.48, 11675.4, -12228.9, 9070.68, -19102.4, -7426.98, 
7,13,50,30,0,3.14159,-12.2438, 0.5227, 2.64061, -12.2605, 9056.34, -13.6833, -11.0427, 
7,18,50,30,-100,100,25.0344, 2.56095, 8.89444, 24.5439, 4056.39, 20.7087, 29.6031, 
1,11,50,30,-500,500,-8290.49, 593.121, 2439.41, -8166.49, 11409.5, -9713.62, -7274.21, 
9,5,50,30,-500,500,0.0305946, 0.0471264, 0.331751, 0.0217691, 5836.69, 0.00359224, 0.335343, 
6,16,50,30,-10,10,1.48572, 1.07805, 4.17822, 0.998381, 9623.58, 0.179309, 4.35753, 
7,8,50,30,-32,32,-33.7684, 5.77506, 27.4821, -33.7859, 7659.64, -48.999, -21.5169, 
9,13,50,30,0,3.14159,-11.6424, 0.847926, 3.59787, -11.4929, 9495.27, -13.6561, -10.0582, 
6,8,50,30,-32,32,-69.2487, 7.54845, 30.0236, -70.1592, 7141.9, -79.6195, -49.5959, 
0,6,50,30,-30,30,-39.828, 0.673148, 3.34626, -39.8417, 5850.99, -41.4231, -38.0769, 
5,10,50,30,-500,500,-13711.2, 686.441, 3996.85, -13683.1, 8614.9, -16456.2, -12459.4, 
3,15,50,30,-100,100,69.5376, 78.0547, 304.837, 36.9303, 2903.39, 8.17443, 313.012, 
0,1,50,30,-512,512,1206.26, 338.696, 1745.25, 1170.73, 4904.83, 460.515, 2205.76, 
5,7,50,30,-30,30,42.243, 1.2849, 5.93835, 42.3202, 9804.31, 39.2101, 45.1485, 
6,11,50,30,-500,500,-8047.64, 1718.61, 6618.68, -7918.95, 11795.4, -11882, -5263.36, 
9,16,50,30,-10,10,2.26544, 1.77689, 7.27256, 1.90771, 10122.9, 0.000606827, 7.27316, 
6,1,50,30,-512,512,1905.34, 299.104, 1317.71, 1878.65, 4202.82, 1384.42, 2702.13, 
1,14,50,30,-30,30,-6.87381, 0.685484, 3.35297, -6.80772, 6274.27, -8.27034, -4.91736, 
10,16,50,30,-10,10,0.0997736, 0.0281581, 0.11048, 0.0927196, 10481, 0.0460578, 0.156538, 
3,12,50,30,-100,100,10.5714, 0.292306, 1.34707, 10.6295, 6591.44, 9.78563, 11.1327, 
2,11,50,30,-500,500,-7119.41, 357.25, 1711.73, -7073.88, 11720.4, -8156.84, -6445.11, 
9,11,50,30,-500,500,-8000.51, 2033.11, 7552.66, -7731.73, 12082.7, -12451.3, -4898.61, 
3,8,50,30,-32,32,-22.9201, 5.90288, 27.726, -22.674, 7624.19, -37.1645, -9.4385, 
2,12,50,30,-100,100,10.3433, 0.374159, 1.85485, 10.3675, 6478.1, 9.13823, 10.9931, 
7,9,50,30,-32,32,48.46, 5.09569, 23.3356, 48.4688, 10082.3, 37.3666, 60.7023, 
9,3,50,30,-100,100,491.037, 1209.78, 8111.78, 135.15, 3147.08, 27.5399, 8139.32, 
